Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),P/E,P/B,Div Yield,Total Returns Index
12-Apr-2012,5246.75,5290.6,5246.75,5276.85,152684788,5457.29,18.65,3,1.51,6704.66
13-Apr-2012,5255.7,5306.75,5185.4,5207.45,164225858,7989.27,18.3,2.96,1.53,6616.53
16-Apr-2012,5190.6,5233.5,5183.5,5226.2,119730347,5165.7,18.41,2.98,1.52,6640.32
17-Apr-2012,5266.6,5298.2,5208.35,5289.7,178895417,7416.66,18.63,3.01,1.5,6721.02
18-Apr-2012,5320.7,5342,5293.45,5300,152743439,5665.77,18.67,3.02,1.5,6734.11
19-Apr-2012,5320.6,5342.45,5291.3,5332.4,133549895,5313.33,18.72,3.04,1.49,6775.3
20-Apr-2012,5313.95,5336.15,5245.45,5290.85,135252751,5086.54,18.58,3.02,1.5,6722.5
23-Apr-2012,5277.4,5310.55,5187.15,5200.6,138042341,5065.27,18.26,2.96,1.53,6607.94
24-Apr-2012,5215.9,5232.35,5180.35,5222.65,155674654,7362.66,18.34,2.98,1.52,6635.96
25-Apr-2012,5222.2,5236.1,5160.65,5202,142910739,5968.34,18.27,2.96,1.53,6609.73
26-Apr-2012,5214.75,5215.6,5179.05,5189,185899437,6408.49,18.22,2.96,1.53,6593.23
27-Apr-2012,5189,5223.05,5154.3,5190.6,128759445,5734.59,17.93,3.04,1.54,6595.24
28-Apr-2012,5209.6,5216.4,5196.35,5209,6555703,297.89,17.99,3.05,1.54,6618.61
30-Apr-2012,5201.45,5262.15,5201.45,5248.15,108138550,4610.4,18.12,3.08,1.52,6668.4
02-May-2012,5254.3,5279.6,5226.45,5239.15,119333288,4815.08,17.99,3.07,1.53,6656.95
03-May-2012,5211.2,5217.3,5180.65,5188.4,118573998,5488.9,17.81,3.04,1.54,6592.46
04-May-2012,5166.65,5177.2,5070.6,5086.85,153304687,6507.5,17.45,2.98,1.57,6463.43
07-May-2012,5017.8,5124.75,4988,5114.15,168271798,6787.08,17.54,3,1.56,6498.13
08-May-2012,5114.7,5119.95,4983.6,4999.95,164262546,6233.26,17.15,2.93,1.6,6353.04
09-May-2012,4967.9,5016.25,4956.45,4974.8,180441209,6558.78,17.03,2.92,1.61,6321.08
10-May-2012,4984.15,5039.3,4950.3,4965.7,141031231,5430.14,17,2.91,1.61,6309.49
11-May-2012,4938.85,4976.25,4906.15,4928.9,138526070,5061.57,16.87,2.89,1.62,6262.72
14-May-2012,4934.35,4957.2,4874.5,4907.8,126951751,5291.93,16.95,2.88,1.63,6235.96
15-May-2012,4869.85,4955.2,4868.55,4942.8,142119571,5491.24,17.04,2.9,1.62,6280.42
16-May-2012,4875.3,4882.25,4837.05,4858.25,165048505,6316.66,16.74,2.85,1.64,6172.98
17-May-2012,4878.6,4922.25,4850.2,4870.2,155654031,5745.51,16.78,2.86,1.64,6188.15
18-May-2012,4796.4,4908.5,4788.95,4891.45,154508649,6447.08,16.85,2.87,1.63,6215.17
21-May-2012,4888.5,4937.5,4888.5,4906.05,116506971,4527.67,16.62,2.88,1.63,6233.67
22-May-2012,4954.7,4956.35,4849.9,4860.5,130808278,5074.37,16.46,2.85,1.64,6175.83
23-May-2012,4843,4853.75,4803.95,4835.65,136108067,4854.15,16.38,2.84,1.65,6144.23
24-May-2012,4863.4,4931.9,4830.15,4921.4,140474832,5012.08,16.69,2.89,1.62,6261.15
25-May-2012,4905.95,4935.8,4889.35,4920.4,118191157,4398.09,16.68,2.89,1.62,6259.88
28-May-2012,4931.7,4994.95,4931.3,4985.65,97260991,3983.53,16.9,2.93,1.6,6342.94
29-May-2012,5005.35,5020.15,4982.15,4990.1,124219839,4923.56,16.9,2.93,1.6,6348.56
30-May-2012,4964.25,4982.25,4944.9,4950.75,146005250,5374.65,16.75,2.9,1.65,6298.54
31-May-2012,4896.1,4949.25,4883.55,4924.25,296911390,10662.01,16.66,2.89,1.66,6275.4
01-Jun-2012,4910.85,4925,4831.75,4841.6,138767416,4989.22,16.36,2.84,1.69,6170.1
04-Jun-2012,4797.3,4858.3,4770.35,4848.15,152339865,5143.54,16.28,2.84,1.68,6178.44
